term_id,term,normalized,category,language,status
EN03360,Abnormality of Nasopharyngeal Tonsil,abnormality of nasopharyngeal tonsil,symptom,english,active
EN03361,Abnormality of Natural Killer Cell Count,abnormality of natural killer cell count,symptom,english,active
EN03362,Abnormality of Natural Killer Cells,abnormality of natural killer cells,symptom,english,active
EN03363,Abnormality of Neck Blood Vessel,abnormality of neck blood vessel,symptom,english,active
EN03364,Abnormality of Nervous System Morphology,abnormality of nervous system morphology,symptom,english,active
EN03365,Abnormality of Nervous System Physiology,abnormality of nervous system physiology,symptom,english,active
EN03366,Abnormality of Neural Tube Closure,abnormality of neural tube closure,symptom,english,active
EN03367,Abnormality of Neuronal Migration,abnormality of neuronal migration,symptom,english,active
EN03368,Abnormality of Neurotransmitter Metabolism,abnormality of neurotransmitter metabolism,symptom,english,active
EN03369,Abnormality of Neutrophil,abnormality of neutrophil,symptom,english,active
EN03370,Abnormality of Neutrophil Morphology,abnormality of neutrophil morphology,symptom,english,active
EN03371,Abnormality of Neutrophil Morphology in Cerebrospinal Fluid,abnormality of neutrophil morphology in cerebrospinal fluid,symptom,english,active
EN03372,Abnormality of Neutrophil Morphology in CSF,abnormality of neutrophil morphology in csf,symptom,english,active
EN03373,Abnormality of Neutrophil Physiology,abnormality of neutrophil physiology,symptom,english,active
EN03374,Abnormality of Neutrophils,abnormality of neutrophils,symptom,english,active
EN03375,Abnormality of Nose Hair,abnormality of nose hair,symptom,english,active
EN03376,Abnormality of Occipitofrontalis Muscle,abnormality of occipitofrontalis muscle,symptom,english,active
EN03377,Abnormality of Ocular Abduction,abnormality of ocular abduction,symptom,english,active
EN03378,Abnormality of Ocular Smooth Pursuit,abnormality of ocular smooth pursuit,symptom,english,active
EN03379,Abnormality of Odontoid Tissue,abnormality of odontoid tissue,symptom,english,active
EN03380,Abnormality of Oesophagus Physiology,abnormality of oesophagus physiology,symptom,english,active
EN03381,Abnormality of Oesophagus Structure,abnormality of oesophagus structure,symptom,english,active
EN03382,Abnormality of Olfaction,abnormality of olfaction,symptom,english,active
EN03383,Abnormality of Olfactory Lobe Morphology,abnormality of olfactory lobe morphology,symptom,english,active
EN03384,Abnormality of Ophthalmic Artery,abnormality of ophthalmic artery,symptom,english,active
EN03385,Abnormality of Optic Chiasm Morphology,abnormality of optic chiasm morphology,symptom,english,active
EN03386,Abnormality of Oral Frenula,abnormality of oral frenula,symptom,english,active
EN03387,Abnormality of Oral Frenum,abnormality of oral frenum,symptom,english,active
EN03388,Abnormality of Oral Mucosa,abnormality of oral mucosa,symptom,english,active
EN03389,Abnormality of Oral Mucous Membrane,abnormality of oral mucous membrane,symptom,english,active
EN03390,Abnormality of Orbicularis Oris Muscle,abnormality of orbicularis oris muscle,symptom,english,active
EN03391,Abnormality of Ossification/mineralisation of Vertebrae,abnormality of ossification/mineralisation of vertebrae,symptom,english,active
EN03392,Abnormality of Pace of Hair Growth,abnormality of pace of hair growth,symptom,english,active
EN03393,Abnormality of Pain Sensation,abnormality of pain sensation,symptom,english,active
EN03394,Abnormality of Palatine Uvula,abnormality of palatine uvula,symptom,english,active
EN03395,Abnormality of Palatoglossus Muscle,abnormality of palatoglossus muscle,symptom,english,active
EN03396,Abnormality of Palatopharyngeus Muscle,abnormality of palatopharyngeus muscle,symptom,english,active
EN03397,Abnormality of Pancreas Morphology,abnormality of pancreas morphology,symptom,english,active
EN03398,Abnormality of Pancreas Physiology,abnormality of pancreas physiology,symptom,english,active
EN03399,Abnormality of Parotid Gland,abnormality of parotid gland,symptom,english,active
EN03400,Abnormality of Pattern Onset/offset VEP,abnormality of pattern onset/offset vep,symptom,english,active
EN03401,Abnormality of Pattern Onset/offset Visual Evoked Potentials,abnormality of pattern onset/offset visual evoked potentials,symptom,english,active
EN03402,Abnormality of Pattern Reversal VEP,abnormality of pattern reversal vep,symptom,english,active
EN03403,Abnormality of Pattern Reversal Visual Evoked Potentials,abnormality of pattern reversal visual evoked potentials,symptom,english,active
EN03404,Abnormality of Pattern Visual Evoked Potentials,abnormality of pattern visual evoked potentials,symptom,english,active
EN03405,Abnormality of Pelvic Girdle Bone Morphology,abnormality of pelvic girdle bone morphology,symptom,english,active
EN03406,Abnormality of Periauricular Region,abnormality of periauricular region,symptom,english,active
EN03407,Abnormality of Peripheral Nerve Conduction,abnormality of peripheral nerve conduction,symptom,english,active
EN03408,Abnormality of Peripheral Nervous System Electrophysiology,abnormality of peripheral nervous system electrophysiology,symptom,english,active
EN03409,Abnormality of Peripheral Somatosensory Evoked Potentials,abnormality of peripheral somatosensory evoked potentials,symptom,english,active
EN03410,Abnormality of Permanent Molar Morphology,abnormality of permanent molar morphology,symptom,english,active
EN03411,Abnormality of Phalangeal Joints of the Hand,abnormality of phalangeal joints of the hand,symptom,english,active
EN03412,Abnormality of Phalanx of Finger,abnormality of phalanx of finger,symptom,english,active
EN03413,Abnormality of Pharyngeal Musculature,abnormality of pharyngeal musculature,symptom,english,active
EN03414,Abnormality of Pharyngeal Tonsil,abnormality of pharyngeal tonsil,symptom,english,active
EN03415,Abnormality of Pharynx Musculature,abnormality of pharynx musculature,symptom,english,active
EN03416,Abnormality of Phenylalanine Metabolism,abnormality of phenylalanine metabolism,symptom,english,active
EN03417,Abnormality of Phosphate Homeostasis,abnormality of phosphate homeostasis,symptom,english,active
EN03418,Abnormality of Pigmentation,abnormality of pigmentation,symptom,english,active
EN03419,Abnormality of Pineal Morphology,abnormality of pineal morphology,symptom,english,active
EN03420,Abnormality of Pineal Physiology,abnormality of pineal physiology,symptom,english,active
EN03421,Abnormality of Placental Membranes,abnormality of placental membranes,symptom,english,active
EN03422,"Abnormality of Plasma Protein, Unspecified","abnormality of plasma protein, unspecified",symptom,english,active
EN03423,Abnormality of Platysma,abnormality of platysma,symptom,english,active
EN03424,Abnormality of Polymorphonuclear Neutrophils,abnormality of polymorphonuclear neutrophils,symptom,english,active
EN03425,Abnormality of Posterior Crus of Antihelix,abnormality of posterior crus of antihelix,symptom,english,active
EN03426,Abnormality of Potassium Homeostasis,abnormality of potassium homeostasis,symptom,english,active
EN03427,Abnormality of Premolar,abnormality of premolar,symptom,english,active
EN03428,Abnormality of Premolar Morphology,abnormality of premolar morphology,symptom,english,active
EN03429,Abnormality of Prenatal Development or Birth,abnormality of prenatal development or birth,symptom,english,active
EN03430,Abnormality of Primary Molar Morphology,abnormality of primary molar morphology,symptom,english,active
EN03431,Abnormality of Primary Teeth,abnormality of primary teeth,symptom,english,active
EN03432,Abnormality of Procerus Muscle,abnormality of procerus muscle,symptom,english,active
EN03433,Abnormality of Proprioception,abnormality of proprioception,symptom,english,active
EN03434,Abnormality of Prothrombin,abnormality of prothrombin,symptom,english,active
EN03435,Abnormality of Proximal Middle-finger Phalanx,abnormality of proximal middle-finger phalanx,symptom,english,active
